store_nbr,family,forecast_demand,average_daily_demand,max_daily_demand,lead_time_demand,safety_stock,recommended_order_qty
8,BEVERAGES,67262.84,4484.1895,5103.769,13452.568,2690.5137,16143.0
7,PRODUCE,67123.11,4474.874,6728.1226,13424.622,2684.9246,16110.0
33,EGGS,65654.19,4376.946,4835.309,13130.838,2626.1677,15757.0
5,BEAUTY,63767.586,4251.1724,5086.5474,12753.518,2550.7036,15304.0
26,GROCERY I,63557.72,4237.181,5606.6694,12711.543,2542.3086,15254.0
37,GROCERY I,62854.875,4190.325,5640.3223,12570.976,2514.195,15085.0
7,GROCERY I,62820.83,4188.055,4694.689,12564.166,2512.8333,15077.0
29,FROZEN FOODS,62011.477,4134.0986,5003.477,12402.296,2480.4592,14883.0
40,FROZEN FOODS,60960.156,4064.0105,5422.527,12192.031,2438.4062,14630.0
8,PRODUCE,59729.523,3981.9683,6992.829,11945.904,2389.181,14335.0
7,BEVERAGES,58766.984,3917.799,4170.1934,11753.397,2350.6794,14104.0
49,GROCERY I,55604.92,3706.9949,5091.5244,11120.984,2224.197,13345.0
35,EGGS,55575.43,3705.0286,4856.048,11115.086,2223.0173,13338.0
27,BEVERAGES,55498.625,3699.9084,4519.6045,11099.726,2219.945,13320.0
9,BEVERAGES,55356.27,3690.418,4292.2446,11071.254,2214.2507,13286.0
18,GROCERY I,54307.594,3620.5063,4540.178,10861.52,2172.304,13034.0
32,EGGS,53470.28,3564.6853,4263.5938,10694.056,2138.8113,12833.0
23,GROCERY I,53076.016,3538.4011,4144.5063,10615.203,2123.0408,12738.0
36,GROCERY I,53011.09,3534.0728,4140.741,10602.219,2120.4438,12723.0
30,BABY CARE,52499.35,3499.9568,4544.6973,10499.87,2099.974,12600.0
53,FROZEN FOODS,51960.07,3464.0046,4764.904,10392.014,2078.4028,12470.0
6,BEVERAGES,51707.145,3447.143,4388.613,10341.43,2068.286,12410.0
26,BEVERAGES,51655.285,3443.6858,4177.1025,10331.058,2066.2117,12397.0
38,BEVERAGES,51206.184,3413.7456,3833.0508,10241.236,2048.2473,12289.0
16,BEAUTY,49734.43,3315.6287,3864.2292,9946.886,1989.3772,11936.0
54,EGGS,47923.574,3194.905,3618.1042,9584.715,1916.943,11502.0
13,GROCERY I,47799.844,3186.6562,3800.084,9559.969,1911.9938,11472.0
35,BABY CARE,47425.453,3161.6968,3862.5637,9485.09,1897.018,11382.0
23,PRODUCE,45847.29,3056.4858,5293.613,9169.457,1833.8915,11003.0
12,FROZEN FOODS,44661.426,2977.4285,3362.1687,8932.285,1786.457,10719.0
23,BEVERAGES,44391.855,2959.457,3457.9175,8878.371,1775.6742,10654.0
14,FROZEN FOODS,44108.414,2940.561,3453.673,8821.684,1764.3368,10586.0
29,BABY CARE,44086.934,2939.129,3542.0925,8817.387,1763.4774,10581.0
17,GROCERY I,43702.688,2913.5125,3453.1167,8740.537,1748.1074,10489.0
1,GROCERY I,43546.82,2903.1213,3830.6797,8709.364,1741.8729,10451.0
44,CELEBRATION,42173.883,2811.5923,3893.006,8434.777,1686.9554,10122.0
11,GROCERY I,42122.645,2808.1763,2989.8342,8424.529,1684.9059,10109.0
43,CELEBRATION,41412.773,2760.8516,3395.1775,8282.555,1656.511,9939.0
43,BREAD/BAKERY,40602.69,2706.8462,3568.172,8120.5386,1624.1078,9745.0
53,BEVERAGES,39580.188,2638.6792,3768.2344,7916.0376,1583.2075,9499.0
18,BEVERAGES,39352.355,2623.4905,3087.222,7870.4717,1574.0944,9445.0
33,BABY CARE,39238.805,2615.9204,2900.3994,7847.761,1569.5522,9417.0
15,GROCERY I,38878.82,2591.9214,3314.2615,7775.764,1555.1528,9331.0
45,PREPARED FOODS,38823.29,2588.2192,4517.8916,7764.6577,1552.9315,9318.0
49,BEVERAGES,38640.992,2576.0662,3239.163,7728.198,1545.6396,9274.0
46,CELEBRATION,37760.027,2517.3352,3364.3142,7552.006,1510.4012,9062.0
37,BEVERAGES,37267.426,2484.495,3135.7568,7453.4854,1490.6971,8944.0
6,PRODUCE,36722.207,2448.1472,3597.038,7344.4414,1468.8883,8813.0
26,PRODUCE,36685.418,2445.6946,3919.2031,7337.084,1467.4169,8805.0
44,CLEANING,36385.254,2425.6836,3171.2427,7277.051,1455.4102,8732.0
45,CELEBRATION,35648.46,2376.564,3556.268,7129.692,1425.9384,8556.0
36,BEAUTY,34979.145,2331.9429,2600.4924,6995.8286,1399.1658,8395.0
40,BABY CARE,34941.004,2329.4001,3061.1594,6988.2,1397.64,8386.0
29,PRODUCE,34907.203,2327.147,3696.846,6981.441,1396.2882,8378.0
22,FROZEN FOODS,34799.74,2319.9827,2619.9722,6959.948,1391.9896,8352.0
39,DAIRY,34684.29,2312.286,2803.286,6936.8574,1387.3715,8324.0
47,CELEBRATION,34125.11,2275.0073,3447.5203,6825.022,1365.0044,8190.0
46,CLEANING,33873.85,2258.2568,2852.7512,6774.7705,1354.9541,8130.0
48,CLEANING,33425.79,2228.386,2528.5996,6685.158,1337.0316,8022.0
17,BEVERAGES,33136.754,2209.117,2633.4324,6627.3506,1325.4701,7953.0
49,PRODUCE,33061.48,2204.0986,3501.0962,6612.296,1322.4592,7935.0
32,BABY CARE,32984.137,2198.9424,2683.1963,6596.827,1319.3655,7916.0
39,CLEANING,32254.967,2150.331,2686.7825,6450.993,1290.1986,7741.0
36,PRODUCE,32025.447,2135.0298,3404.3464,6405.0894,1281.018,7686.0
34,FROZEN FOODS,31207.67,2080.5112,2462.4807,6241.5337,1248.3068,7490.0
19,GROCERY I,31082.031,2072.1355,2548.4802,6216.4062,1243.2812,7460.0
5,PREPARED FOODS,30633.07,2042.2047,3421.9165,6126.6143,1225.3229,7352.0
3,FROZEN FOODS,30407.695,2027.1797,2873.7134,6081.539,1216.3079,7298.0
10,CLEANING,29901.87,1993.4579,2221.136,5980.3735,1196.0747,7176.0
24,BEVERAGES,29731.162,1982.0775,2196.781,5946.2324,1189.2465,7135.0
48,CELEBRATION,29547.191,1969.8127,2260.689,5909.4385,1181.8877,7091.0
37,PRODUCE,28989.924,1932.6616,3285.7468,5797.985,1159.597,6958.0
31,FROZEN FOODS,28126.598,1875.1066,2284.2383,5625.32,1125.064,6750.0
40,PRODUCE,27946.012,1863.0675,3080.6523,5589.2026,1117.8406,6707.0
54,AUTOMOTIVE,27735.53,1849.0353,2079.1787,5547.106,1109.4213,6657.0
47,PREPARED FOODS,27134.586,1808.9724,2976.6543,5426.917,1085.3834,6512.0
9,CLEANING,27036.504,1802.4336,2102.9353,5407.301,1081.4602,6489.0
50,CLEANING,26971.998,1798.1332,2107.2068,5394.3994,1078.8799,6473.0
19,BEAUTY,26917.596,1794.5063,2288.3105,5383.519,1076.7039,6460.0
52,GROCERY I,26908.762,1793.9175,2412.5752,5381.7524,1076.3505,6458.0
43,BEAUTY,26112.293,1740.8196,2229.287,5222.459,1044.4918,6267.0
4,CELEBRATION,25974.717,1731.6478,2386.511,5194.9434,1038.9886,6234.0
5,CELEBRATION,25870.068,1724.6713,2043.2821,5174.0137,1034.8027,6209.0
19,PRODUCE,25858.443,1723.8962,3291.6606,5171.6885,1034.3378,6206.0
14,BEAUTY,24874.441,1658.2961,1921.4036,4974.8887,994.9777,5970.0
25,FROZEN FOODS,24746.896,1649.7931,2297.358,4949.3794,989.8759,5939.0
45,CLEANING,24700.748,1646.7166,2291.7476,4940.1494,988.0299,5928.0
50,CELEBRATION,24022.969,1601.5312,1842.5569,4804.5938,960.91876,5766.0
12,BEAUTY,23820.691,1588.0461,1820.2665,4764.1387,952.82776,5717.0
15,BEVERAGES,23522.484,1568.1656,1904.4946,4704.497,940.8994,5645.0
52,BEAUTY,23382.17,1558.8113,2240.7942,4676.4336,935.28674,5612.0
24,GROCERY I,23127.969,1541.8646,2085.4163,4625.5938,925.1188,5551.0
8,DAIRY,22952.152,1530.1434,1735.6659,4590.43,918.08606,5509.0
3,BEVERAGES,22953.97,1530.2648,2050.0981,4590.7944,918.1589,5509.0
34,BEAUTY,22753.293,1516.8862,1775.3948,4550.6587,910.1318,5461.0
2,BEVERAGES,22465.732,1497.7155,2819.9788,4493.1465,898.62933,5392.0
22,BABY CARE,22438.518,1495.9011,1759.1525,4487.703,897.54065,5385.0
13,BEVERAGES,22280.959,1485.3972,1802.8729,4456.1914,891.2383,5347.0
11,BEVERAGES,22132.53,1475.502,1653.849,4426.506,885.3012,5312.0
2,FROZEN FOODS,21759.523,1450.6349,2665.8313,4351.905,870.381,5222.0
1,BOOKS,21088.133,1405.8755,1677.3335,4217.6265,843.5253,5061.0
44,PLAYERS AND ELECTRONICS,20742.62,1382.8413,1715.787,4148.524,829.7048,4978.0
38,CELEBRATION,20672.146,1378.1431,1640.7384,4134.429,826.88586,4961.0
54,PRODUCE,20604.223,1373.6149,2192.2197,4120.8447,824.16895,4945.0
7,DAIRY,20425.781,1361.7188,1464.9615,4085.1562,817.03125,4902.0
17,PRODUCE,20389.54,1359.3026,2732.6438,4077.9077,815.58154,4893.0
47,CLEANING,20367.857,1357.8572,2035.2406,4073.5715,814.7143,4888.0
52,PRODUCE,20305.676,1353.7117,2284.1572,4061.135,812.227,4873.0
24,PREPARED FOODS,20151.84,1343.4559,2758.4058,4030.3677,806.07355,4836.0
8,CLEANING,20027.578,1335.1719,1453.9528,4005.5156,801.10315,4807.0
44,BOOKS,19931.926,1328.795,1705.3506,3986.3853,797.27704,4784.0
43,PLAYERS AND ELECTRONICS,19516.936,1301.129,1693.9064,3903.3872,780.6774,4684.0
39,BREAD/BAKERY,19324.676,1288.3118,1466.9302,3864.9353,772.98706,4638.0
46,BOOKS,19272.125,1284.8083,1650.1815,3854.425,770.885,4625.0
44,MAGAZINES,19114.035,1274.269,1895.697,3822.8071,764.56146,4587.0
6,CLEANING,19063.498,1270.8999,1713.837,3812.6997,762.54,4575.0
30,BREAD/BAKERY,18974.531,1264.9688,1501.7748,3794.9062,758.98126,4554.0
39,POULTRY,18880.197,1258.6798,1596.5223,3776.0396,755.20795,4531.0
42,CELEBRATION,18552.414,1236.8276,1463.9731,3710.483,742.0966,4453.0
48,BOOKS,18309.146,1220.6097,1397.2542,3661.829,732.36584,4394.0
16,CELEBRATION,18053.992,1203.5995,1409.1958,3610.7983,722.15967,4333.0
27,CELEBRATION,18048.092,1203.2062,1428.5154,3609.6187,721.92377,4332.0
46,PLAYERS AND ELECTRONICS,17999.076,1199.9384,1460.9403,3599.815,719.963,4320.0
5,CLEANING,17961.375,1197.425,1455.3641,3592.2751,718.455,4311.0
45,MAGAZINES,17647.26,1176.484,1679.3856,3529.4521,705.89044,4235.0
53,CELEBRATION,17119.064,1141.271,1372.8484,3423.813,684.76263,4109.0
23,DAIRY,17093.014,1139.5343,1323.2534,3418.603,683.72064,4102.0
35,PREPARED FOODS,16953.441,1130.2294,2323.039,3390.688,678.13763,4069.0
26,DAIRY,16910.371,1127.358,1428.2981,3382.0742,676.41486,4058.0
27,POULTRY,16851.16,1123.4106,2242.385,3370.232,674.0464,4044.0
28,BABY CARE,16749.87,1116.658,1974.329,3349.9739,669.9948,4020.0
7,CLEANING,16574.457,1104.9637,1232.3533,3314.891,662.9782,3978.0
22,PREPARED FOODS,16353.88,1090.2587,1767.5544,3270.776,654.1552,3925.0
37,CLEANING,16132.605,1075.5071,1304.9891,3226.5212,645.30426,3872.0
38,PREPARED FOODS,16020.644,1068.0428,1817.9713,3204.1284,640.8257,3845.0
6,DAIRY,15930.536,1062.0358,1338.7478,3186.1074,637.2215,3823.0
28,EGGS,15842.67,1056.178,1998.7252,3168.534,633.7068,3802.0
9,PRODUCE,15814.765,1054.3176,1923.7646,3162.953,632.5906,3796.0
30,PREPARED FOODS,15648.563,1043.2375,2056.9072,3129.7126,625.94257,3756.0
31,BEAUTY,15517.897,1034.5265,1278.2015,3103.5796,620.71594,3724.0
50,BOOKS,15512.836,1034.1891,1251.422,3102.5674,620.5135,3723.0
40,CELEBRATION,15407.635,1027.1757,1355.8655,3081.5269,616.30536,3698.0
32,BREAD/BAKERY,15354.942,1023.66284,1221.9071,3070.9885,614.1977,3685.0
48,PLAYERS AND ELECTRONICS,15156.068,1010.40454,1306.0198,3031.2136,606.24274,3637.0
18,CLEANING,15122.133,1008.1422,1301.2429,3024.4268,604.8854,3629.0
43,MAGAZINES,14981.219,998.7479,1484.7279,2996.2437,599.2487,3595.0
27,CLEANING,14871.507,991.4338,1335.8154,2974.3013,594.8603,3569.0
13,CLEANING,14662.322,977.48816,1174.3606,2932.4644,586.49286,3519.0
25,BEAUTY,14635.851,975.7234,1134.7181,2927.1702,585.434,3513.0
45,BOOKS,14531.933,968.79553,1379.7834,2906.3867,581.27734,3488.0
33,BREAD/BAKERY,14477.441,965.1628,1103.2041,2895.4883,579.09766,3475.0
46,MAGAZINES,14454.923,963.6615,1369.5985,2890.9844,578.1969,3469.0
47,MAGAZINES,14401.448,960.09656,1374.1814,2880.2896,576.0579,3456.0
20,FROZEN FOODS,14389.707,959.3138,2504.0847,2877.9414,575.5883,3454.0
26,CLEANING,14351.419,956.7613,1159.1302,2870.284,574.0568,3444.0
23,CLEANING,14351.362,956.7575,1107.2683,2870.2725,574.0545,3444.0
36,CLEANING,14239.191,949.2794,1078.6205,2847.8384,569.5677,3417.0
20,BEAUTY,14125.148,941.6766,1917.0352,2825.0298,565.006,3390.0
10,PRODUCE,14035.805,935.72034,1650.4794,2807.1611,561.43225,3369.0
15,CLEANING,13848.104,923.2069,1250.8231,2769.6206,553.92413,3324.0
29,CLEANING,13716.379,914.42523,1072.5897,2743.2756,548.65515,3292.0
50,PLAYERS AND ELECTRONICS,13680.241,912.01605,1248.5847,2736.048,547.20966,3283.0
32,POULTRY,13670.366,911.3577,1785.4862,2734.0732,546.81464,3281.0
14,CELEBRATION,13641.047,909.40314,1058.0225,2728.2095,545.6419,3274.0
54,BREAD/BAKERY,13614.147,907.6098,1044.65,2722.8293,544.56586,3267.0
47,PLAYERS AND ELECTRONICS,13416.414,894.4276,1258.5142,2683.2827,536.65656,3220.0
9,DAIRY,13386.216,892.41437,1146.9061,2677.2432,535.44867,3213.0
29,CELEBRATION,13383.727,892.2484,1005.9094,2676.745,535.34906,3212.0
36,DAIRY,13341.3545,889.42365,989.2906,2668.271,533.65424,3202.0
47,BOOKS,13327.033,888.4689,1315.769,2665.4067,533.08136,3198.0
45,DAIRY,13314.038,887.60254,1200.6322,2662.8076,532.5615,3195.0
45,PLAYERS AND ELECTRONICS,13232.851,882.19006,1169.3666,2646.5703,529.3141,3176.0
37,DAIRY,13192.744,879.5163,1032.1338,2638.5488,527.7098,3166.0
35,BREAD/BAKERY,13145.418,876.3612,1197.8882,2629.0835,525.8167,3155.0
4,POULTRY,12817.886,854.5257,1532.4205,2563.5771,512.71545,3076.0
16,PRODUCE,12809.86,853.99066,1556.205,2561.972,512.3944,3074.0
44,MEATS,12779.573,851.97156,1185.0037,2555.9146,511.18292,3067.0
8,BREAD/BAKERY,12769.67,851.31134,931.5206,2553.934,510.78683,3065.0
49,DAIRY,12627.083,841.80554,1118.1592,2525.4165,505.0833,3030.0
49,CLEANING,12496.998,833.1332,1020.7181,2499.3994,499.87988,2999.0
47,MEATS,12484.9,832.3267,1284.7993,2496.9802,499.39606,2996.0
48,MAGAZINES,12482.658,832.1772,1188.8093,2496.5315,499.3063,2996.0
39,MEATS,12446.337,829.7558,1237.8372,2489.2673,497.8535,2987.0
45,MEATS,12392.014,826.1342,1104.0311,2478.4026,495.6805,2974.0
46,MEATS,12382.982,825.53217,1130.2421,2476.5964,495.3193,2972.0
42,POULTRY,12371.456,824.76373,1493.8268,2474.2913,494.85825,2969.0
44,DAIRY,11967.905,797.86035,1023.5394,2393.581,478.71622,2872.0
11,CLEANING,11893.876,792.92505,846.39075,2378.7751,475.75504,2855.0
40,CLEANING,11784.947,785.66315,992.3113,2356.9895,471.39792,2828.0
16,CLEANING,11596.273,773.0849,949.3173,2319.2546,463.85092,2783.0
1,CLEANING,11472.721,764.848,1102.5366,2294.544,458.90878,2753.0
41,PRODUCE,11394.734,759.649,1708.7412,2278.947,455.7894,2735.0
12,CELEBRATION,11223.323,748.22156,982.61554,2244.6646,448.93292,2694.0
38,BOOKS,11200.97,746.7313,866.89355,2240.1938,448.0388,2688.0
26,BREAD/BAKERY,11148.92,743.26135,896.7373,2229.7842,445.95685,2676.0
30,CELEBRATION,10991.335,732.7557,940.6578,2198.267,439.6534,2638.0
33,BEAUTY,10989.367,732.62445,859.3608,2197.8733,439.57468,2637.0
46,DAIRY,10745.877,716.3918,912.7615,2149.1753,429.83505,2579.0
47,DAIRY,10718.646,714.5764,1110.0835,2143.7292,428.74585,2572.0
10,BREAD/BAKERY,10680.435,712.029,820.8228,2136.087,427.21738,2563.0
50,MAGAZINES,10631.098,708.73987,1030.0748,2126.2197,425.24396,2551.0
23,BREAD/BAKERY,10526.761,701.78406,797.33344,2105.352,421.0704,2526.0
27,BOOKS,10509.527,700.63513,895.31964,2101.9053,420.38107,2522.0
43,DAIRY,10480.381,698.6921,923.3942,2096.0762,419.21524,2515.0
42,CLEANING,10470.052,698.0035,852.82184,2094.0105,418.8021,2513.0
29,BEVERAGES,10219.471,681.29803,784.49207,2043.894,408.7788,2453.0
7,BREAD/BAKERY,10181.583,678.7722,729.0728,2036.3167,407.26334,2444.0
22,MAGAZINES,10132.186,675.47906,1153.1578,2026.4373,405.28745,2432.0
10,DAIRY,10124.448,674.9632,790.3527,2024.8896,404.97794,2430.0
38,CLEANING,10086.7295,672.4486,841.69196,2017.3458,403.46918,2421.0
10,MEATS,10006.701,667.1134,786.48157,2001.3402,400.26804,2402.0
4,CLEANING,9993.632,666.2421,838.5879,1998.7263,399.74527,2398.0
33,CELEBRATION,9861.159,657.4106,782.7422,1972.2317,394.44635,2367.0
43,MEATS,9812.8545,654.1903,969.7355,1962.5709,392.5142,2355.0
7,POULTRY,9770.296,651.3531,800.1563,1954.0593,390.81186,2345.0
5,BOOKS,9703.34,646.88934,808.80475,1940.668,388.1336,2329.0
17,DAIRY,9666.278,644.4186,865.6653,1933.2557,386.65115,2320.0
8,POULTRY,9646.595,643.1063,793.2458,1929.319,385.8638,2315.0
35,CELEBRATION,9580.254,638.6836,892.2352,1916.0508,383.21017,2299.0
43,CLEANING,9445.532,629.70215,829.7392,1889.1064,377.8213,2267.0
19,DAIRY,9429.72,628.648,784.6417,1885.9441,377.1888,2263.0
5,MAGAZINES,9245.747,616.3831,921.81036,1849.1494,369.8299,2219.0
17,BREAD/BAKERY,9194.042,612.93616,668.5289,1838.8085,367.7617,2207.0
28,POULTRY,9118.672,607.91144,1589.7567,1823.7344,364.7469,2188.0
51,BEAUTY,9070.324,604.6883,3138.4905,1814.065,362.813,2177.0
41,BEVERAGES,9071.206,604.7471,928.4883,1814.2412,362.84824,2177.0
9,DELI,8970.199,598.0133,791.5042,1794.0399,358.80798,2153.0
17,CLEANING,8970.741,598.04944,677.08984,1794.1483,358.82968,2153.0
39,PERSONAL CARE,8923.309,594.88727,785.2358,1784.6619,356.93237,2142.0
30,BEAUTY,8857.701,590.5134,736.5807,1771.5403,354.30807,2126.0
6,POULTRY,8842.443,589.4962,734.72235,1768.4886,353.69772,2122.0
6,BREAD/BAKERY,8802.034,586.8023,700.9797,1760.407,352.0814,2112.0
19,CLEANING,8769.509,584.6339,823.2341,1753.9017,350.78036,2105.0
22,CELEBRATION,8681.335,578.7557,656.5475,1736.2671,347.25342,2084.0
54,CELEBRATION,8670.636,578.04236,642.7275,1734.1271,346.8254,2081.0
43,PRODUCE,8650.799,576.7199,1325.3672,1730.1597,346.03195,2076.0
35,BEAUTY,8580.874,572.0583,707.3606,1716.1748,343.23495,2059.0
5,MEATS,8533.295,568.88635,711.066,1706.659,341.33182,2048.0
3,CELEBRATION,8454.273,563.6182,754.08514,1690.8547,338.17096,2029.0
39,EGGS,8444.392,562.9594,721.53613,1688.8782,337.77563,2027.0
40,BEVERAGES,8379.773,558.65155,693.97327,1675.9546,335.19092,2011.0
9,BREAD/BAKERY,8334.074,555.6049,637.42365,1666.8147,333.36295,2000.0
52,CLEANING,8318.475,554.565,721.0299,1663.6951,332.739,1996.0
48,MEATS,8250.275,550.0184,670.58875,1650.0552,330.01105,1980.0
20,PREPARED FOODS,8240.25,549.35,1671.776,1648.0499,329.61,1978.0
24,DAIRY,8056.103,537.07355,655.4747,1611.2207,322.24414,1933.0
29,MEATS,7979.4375,531.9625,788.88574,1595.8876,319.17752,1915.0
36,BREAD/BAKERY,7975.062,531.6708,594.84174,1595.0123,319.00247,1914.0
41,GROCERY I,7931.6704,528.778,1076.8037,1586.334,317.2668,1904.0
16,DAIRY,7917.539,527.83594,759.46063,1583.5078,316.70157,1900.0
22,CLEANING,7888.3076,525.88715,562.58575,1577.6614,315.5323,1893.0
5,DAIRY,7883.2925,525.55286,690.3656,1576.6586,315.33173,1892.0
37,BREAD/BAKERY,7838.778,522.5852,619.1388,1567.7556,313.55112,1881.0
33,PREPARED FOODS,7818.3125,521.2208,954.81085,1563.6625,312.7325,1876.0
31,CELEBRATION,7802.988,520.19916,652.4726,1560.5974,312.11948,1873.0
10,DELI,7764.3223,517.62146,686.32196,1552.8644,310.57288,1863.0
2,PREPARED FOODS,7677.9683,511.86456,1215.307,1535.5938,307.11874,1843.0
7,MEATS,7671.624,511.4416,686.83875,1534.3247,306.86496,1841.0
42,BOOKS,7670.045,511.33633,639.88586,1534.009,306.80182,1841.0
25,PRODUCE,7560.049,504.00327,889.5782,1512.0098,302.40195,1814.0
6,MEATS,7509.576,500.6384,693.4467,1501.9152,300.38303,1802.0
48,DELI,7381.546,492.10306,624.124,1476.3092,295.26184,1772.0
29,POULTRY,7371.0884,491.40588,645.87415,1474.2177,294.84354,1769.0
23,POULTRY,7295.926,486.39505,605.7829,1459.1852,291.83704,1751.0
53,PLAYERS AND ELECTRONICS,7287.5874,485.83917,899.20575,1457.5176,291.5035,1749.0
8,MEATS,7262.2373,484.14914,668.8486,1452.4474,290.48947,1743.0
34,CELEBRATION,7179.455,478.63034,588.977,1435.891,287.1782,1723.0
32,CELEBRATION,7088.904,472.5936,597.96094,1417.7808,283.55615,1701.0
9,PERSONAL CARE,7047.584,469.83893,547.83185,1409.5168,281.90338,1691.0
15,PREPARED FOODS,6955.333,463.68887,785.1581,1391.0667,278.21335,1669.0
43,HOME AND KITCHEN II,6885.6694,459.04462,548.4895,1377.1338,275.42676,1653.0
48,DAIRY,6851.9844,456.79895,586.1142,1370.3969,274.07938,1644.0
4,BOOKS,6826.891,455.12607,536.9458,1365.3782,273.07565,1638.0
2,CELEBRATION,6815.0923,454.33948,736.82214,1363.0184,272.6037,1636.0
44,HOME APPLIANCES,6761.5454,450.76968,543.3225,1352.3091,270.46182,1623.0
5,PLAYERS AND ELECTRONICS,6682.232,445.48212,581.4225,1336.4463,267.28928,1604.0
43,DELI,6636.6187,442.44125,540.0509,1327.3237,265.46475,1593.0
10,POULTRY,6606.862,440.45746,584.6161,1321.3723,264.27448,1586.0
44,DELI,6572.0996,438.13998,617.5766,1314.4199,262.884,1577.0
49,POULTRY,6545.493,436.3662,564.08655,1309.0986,261.81973,1571.0
3,POULTRY,6546.6636,436.44424,905.1332,1309.3328,261.86655,1571.0
26,POULTRY,6525.077,435.00516,616.03345,1305.0155,261.0031,1566.0
14,PRODUCE,6519.9077,434.66052,640.37006,1303.9816,260.79633,1565.0
46,HOME APPLIANCES,6446.9272,429.79514,508.69705,1289.3854,257.87708,1547.0
9,POULTRY,6442.6836,429.51224,556.96185,1288.5367,257.70737,1546.0
45,HOME APPLIANCES,6412.2124,427.48083,527.90375,1282.4425,256.4885,1539.0
52,DAIRY,6406.641,427.1094,556.8878,1281.3282,256.26566,1538.0
10,PERSONAL CARE,6336.6846,422.44565,497.2899,1267.3369,253.46739,1521.0
2,CLEANING,6201.736,413.44907,756.8154,1240.3472,248.06944,1488.0
39,DELI,6094.275,406.285,517.8388,1218.855,243.771,1463.0
27,DAIRY,6025.872,401.7248,589.5841,1205.1743,241.03487,1446.0
49,BREAD/BAKERY,6026.1646,401.7443,499.00992,1205.2329,241.04659,1446.0
49,MEATS,5998.2075,399.8805,570.07965,1199.6415,239.9283,1440.0
13,DAIRY,5991.799,399.45325,512.90936,1198.3597,239.67195,1438.0
37,PERSONAL CARE,5976.659,398.44394,499.15765,1195.3318,239.06636,1434.0
46,DELI,5906.754,393.7836,554.4685,1181.3508,236.27017,1418.0
47,HOME APPLIANCES,5902.596,393.5064,505.79578,1180.5193,236.10387,1417.0
44,PRODUCE,5855.0737,390.33826,894.6794,1171.0148,234.20296,1405.0
50,DELI,5814.825,387.655,487.44342,1162.965,232.593,1396.0
